Nx,dt,eps=1,eps=0.01,eps=0.0001,eps=1e-06,eps=1e-08,eps=1e-10
10,0.006666666666666667,0.002173414228860062,0.0014565430850067894,0.0016217881347837023,0.0016217889871757772,0.0016217889871757772,0.0016217889871757772
20,0.0033333333333333335,0.0005920730079070779,0.00038250747966286084,0.0003557961756443878,0.00035589299227909766,0.00035589299227909766,0.00035589299227909766
40,0.0016666666666666668,0.00017460028338717106,9.659253796995328e-05,8.750321099141507e-05,8.785441376658782e-05,8.785441376658782e-05,8.785441376658782e-05
80,0.0008333333333333334,4.9785659497588707e-05,1.5180325747269974e-05,1.6420637947649356e-05,1.56523709999628e-05,1.56523709999628e-05,1.56523709999628e-05
