Bmult,T,method,ordering,err_dtmin,p_est,max_norm_ratio,final_norm_ratio,max_step_ratio,status
20,0.5,Strang-3,ABC,1.1219881073608961e-06,1.9996925,1.0000000000000000e+00,2.3634193661145608e-02,1.0000000000000000e+00,ok
20,0.5,Strang-3,ACB,1.2230948721954673e-06,1.9996179,1.0000000000000000e+00,2.3634129809400134e-02,1.0000000000000000e+00,ok
20,0.5,Strang-3,BAC,3.6198563511574782e-07,1.9993421,1.0000000000000000e+00,2.3635590626136665e-02,1.0000000000000000e+00,ok
20,0.5,Strang-3,BCA,3.5584758828125225e-07,1.9993461,1.0000000000000000e+00,2.3635582957140060e-02,1.0000000000000000e+00,ok
20,0.5,Strang-3,CAB,1.2301171998062285e-06,1.9996285,1.0000000000000000e+00,2.3634122138825851e-02,1.0000000000000000e+00,ok
20,0.5,Strang-3,CBA,4.5336284851241749e-07,1.9994185,1.0000000000000000e+00,2.3635712549421477e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,ABC,3.8450623537290699e-11,3.9952239,1.0000000000000000e+00,2.3635273224994067e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,ACB,6.2931012641789222e-11,4.0055245,1.0000000000000000e+00,2.3635273137257318e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,BAC,3.1593890598724224e-11,4.0004829,1.0000000000000000e+00,2.3635273162059874e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,BCA,3.2585834223300721e-11,4.0004295,1.0000000000000000e+00,2.3635273161129042e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,CAB,5.5352932229882495e-11,4.0061119,1.0000000000000000e+00,2.3635273144444007e-02,1.0000000000000000e+00,ok
20,0.5,Yoshida-3,CBA,1.5326772805483996e-11,4.0009133,1.0000000000000000e+00,2.3635273201456919e-02,1.0000000000000000e+00,ok
