Bmult,T,method,ordering,err_dtmin,p_est,max_norm_ratio,final_norm_ratio,max_step_ratio,status
100,0.5,Strang-3,ABC,2.0331361461327134e-09,1.9928405,1.0000000000000000e+00,1.0359013364971510e-05,1.0000000000000000e+00,ok
100,0.5,Strang-3,ACB,2.3088620932496268e-09,1.9922534,1.0000000000000000e+00,1.0358831602597338e-05,1.0000000000000000e+00,ok
100,0.5,Strang-3,BAC,6.6536892391179760e-10,1.9849224,1.0000000000000000e+00,1.0361508548772703e-05,1.0000000000000000e+00,ok
100,0.5,Strang-3,BCA,6.6502721750244762e-10,1.9849254,1.0000000000000000e+00,1.0361508034400709e-05,1.0000000000000000e+00,ok
100,0.5,Strang-3,CAB,2.3093071722382678e-09,1.9922619,1.0000000000000000e+00,1.0358831085631734e-05,1.0000000000000000e+00,ok
100,0.5,Strang-3,CBA,7.7753151366583773e-10,1.9859143,1.0000000000000000e+00,1.0361715612384408e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,ABC,1.4568962390038154e-12,3.8572251,1.0000000000000000e+00,1.0360963521614046e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,ACB,3.8146828101455645e-12,4.1301269,1.0000000000000000e+00,1.0360959182755616e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,BAC,2.4426494052986718e-12,4.0070191,1.0000000000000000e+00,1.0360960178203601e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,BCA,2.4442967500941166e-12,4.0070027,1.0000000000000000e+00,1.0360960176638205e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,CAB,3.8014058394958213e-12,4.1304877,1.0000000000000000e+00,1.0360959194839227e-05,1.0000000000000000e+00,ok
100,0.5,Yoshida-3,CBA,7.1228983601624164e-13,4.0174714,1.0000000000000000e+00,1.0360962725061931e-05,1.0000000000000000e+00,ok
