Bmult,T,method,ordering,err_dtmin,p_est,max_norm_ratio,final_norm_ratio,max_step_ratio,status
1,0.5,Strang-3,ABC,1.9465046380923675e-07,2.0000129,1.0000000000000000e+00,6.1335481779762946e-01,1.0000000000000000e+00,ok
1,0.5,Strang-3,ACB,1.9405420913845255e-07,2.0000143,1.0000000000000000e+00,6.1335481841887063e-01,1.0000000000000000e+00,ok
1,0.5,Strang-3,BAC,4.4091230322142043e-07,2.0000088,1.0000000000000000e+00,6.1335540709759917e-01,1.0000000000000000e+00,ok
1,0.5,Strang-3,BCA,4.1753970300004669e-07,2.0000132,1.0000000000000000e+00,6.1335536512443489e-01,1.0000000000000000e+00,ok
1,0.5,Strang-3,CAB,4.2618069312120575e-07,2.0000141,1.0000000000000000e+00,6.1335477644575720e-01,1.0000000000000000e+00,ok
1,0.5,Strang-3,CBA,2.3581144593375593e-07,2.000015,1.0000000000000000e+00,6.1335515214330472e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,ABC,7.4637421314112282e-13,3.9919682,1.0000000000000000e+00,6.1335500662371445e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,ACB,8.6504078055214296e-13,4.0051193,1.0000000000000000e+00,6.1335500662393039e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,BAC,2.0952750830820061e-12,3.9975976,1.0000000000000000e+00,6.1335500662419251e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,BCA,2.0925363803028298e-12,3.9998288,1.0000000000000000e+00,6.1335500662417575e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,CAB,1.5956261018978901e-12,4.0008142,1.0000000000000000e+00,6.1335500662404074e-01,1.0000000000000000e+00,ok
1,0.5,Yoshida-3,CBA,1.0021188459755847e-12,3.9995938,1.0000000000000000e+00,6.1335500662344744e-01,1.0000000000000000e+00,ok
