t,dt,accepted,err_est,y_norm_ratio,step_ratio
4.5366092755456784e-02,2.3640572965511774e-03,1,5.6207305925652940e-08,3.9455042986937738e-01,9.5380877808181641e-01
4.7753584912798228e-02,2.3874921573414417e-03,1,5.6179478069553187e-08,3.7614824148183496e-01,9.5335909684945774e-01
5.0164983060991500e-02,2.4113981481932718e-03,1,5.6150976306045918e-08,3.5843192466169960e-01,9.5290070544968664e-01
5.2600773773138210e-02,2.4357907121467103e-03,1,5.6121794300366398e-08,3.4138254065602308e-01,9.5243341110932489e-01
5.5061459612767476e-02,2.4606858396292652e-03,1,5.6091922947874481e-08,3.2498148866265675e-01,9.5195696897138027e-01
5.7547559728236698e-02,2.4861001154692225e-03,1,5.6061352556225316e-08,3.0921049314305765e-01,9.5147109583226153e-01
6.0059610477287972e-02,2.5120507490512729e-03,1,5.6030070507693240e-08,2.9405159706884654e-01,9.5097547977714392e-01
6.2598166104531588e-02,2.5385556272436143e-03,1,5.5998062695848302e-08,2.7948715860432921e-01,9.5046978622222078e-01
6.5163799461794167e-02,2.5656333572625727e-03,1,5.5965313012617928e-08,2.6549984977194246e-01,9.4995366190620367e-01
6.7757102778512546e-02,2.5933033167183741e-03,1,5.5931803386544532e-08,2.5207265608689400e-01,9.4942673716545567e-01
7.0378688484729640e-02,2.6215857062170979e-03,1,5.5897514056241452e-08,2.3918887655319593e-01,9.4888862705815746e-01
7.3029190087189888e-02,2.6505016024602505e-03,1,5.5862423673573312e-08,2.2683212366944105e-01,9.4833893171864658e-01
7.5709263100668223e-02,2.6800730134783363e-03,1,5.5826508251064287e-08,2.1498632324245920e-01,9.4777723615441456e-01
7.8419586048023959e-02,2.7103229473557301e-03,1,5.5789742948770673e-08,2.0363571386301210e-01,9.4720310944317132e-01
8.1160861515653313e-02,2.7412754676293567e-03,1,5.5752100612080031e-08,1.9276484608417541e-01,9.4661610396028262e-01
8.3933817282151796e-02,2.7729557664984855e-03,1,5.5713552731462522e-08,1.8235858123818902e-01,9.4601575413059369e-01
8.6739207515083627e-02,2.8053902329318310e-03,1,5.5674068340219036e-08,1.7240208995344716e-01,9.4540157519794976e-01
8.9577814051276586e-02,2.8386065361929590e-03,1,5.5633615030955706e-08,1.6288085036257646e-01,9.4477306166391783e-01
9.2450447755474716e-02,2.8726337041981328e-03,1,5.5592158456974483e-08,1.5378064607774519e-01,9.4412968581282564e-01
9.5357949967492778e-02,2.9075022120180587e-03,1,5.5549661984465246e-08,1.4508756395033437e-01,9.4347089605140599e-01
9.8301194047255791e-02,2.9432440797630124e-03,1,5.5506087185251041e-08,1.3678799164023844e-01,9.4279611508993977e-01
1.0128108701885358e-01,2.9798929715977836e-03,1,5.5461393197282721e-08,1.2886861504339073e-01,9.4210473812879569e-01
1.0429857132706512e-01,3.0174843082115357e-03,1,5.5415537165281909e-08,1.2131641558636026e-01,9.4139613082295015e-01
1.0735462670905352e-01,3.0560553819884047e-03,1,5.5368473455683104e-08,1.1411866742664230e-01,9.4066962723116243e-01
1.1045027219777280e-01,3.0956454887192818e-03,1,5.5320154240843440e-08,1.0726293455895343e-01,9.3992452749156175e-01
1.1358656825957152e-01,3.1362960617987204e-03,1,5.5270528660730248e-08,1.0073706786301523e-01,9.3916009549084745e-01
1.1676461908492872e-01,3.1780508253572049e-03,1,5.5219543149706010e-08,9.4529202087877517e-02,9.3837555621949087e-01
1.1998557503938878e-01,3.2209559544600710e-03,1,5.5167141073022044e-08,8.8627752796416520e-02,9.3757009303881766e-01
1.2325063529045892e-01,3.2650602510701358e-03,1,5.5113262472501417e-08,8.3021413273792907e-02,9.3674284469897673e-01
1.2656105062633224e-01,3.3104153358733241e-03,1,5.5057843902267809e-08,7.7699151406033271e-02,9.3589290210939236e-01
1.2991812648262219e-01,3.3570758562899488e-03,1,5.5000818173636452e-08,7.2650206535846529e-02,9.3501930485955487e-01
1.3332322619587020e-01,3.4050997132479997e-03,1,5.4942114181704310e-08,6.7864086299969567e-02,9.3412103744652897e-01
1.3677777450328515e-01,3.4545483074149698e-03,1,5.4881656300478517e-08,6.3330563453156394e-02,9.3319702520160197e-01
1.4028326131547988e-01,3.5054868121947324e-03,1,5.4819364471249076e-08,5.9039672676378017e-02,9.3224612978609911e-01
1.4384124578257260e-01,3.5579844670927049e-03,1,5.4755153567687889e-08,5.4981707378673507e-02,9.3126714438360836e-01
1.4745336068543949e-01,3.6121149028669045e-03,1,5.4688933137452532e-08,5.1147216489382891e-02,9.3025878838426268e-01
1.5112131718202904e-01,3.6679564965895338e-03,1,5.4620606853052172e-08,4.7527001244277278e-02,9.2921970160669265e-01
1.5484690994556552e-01,3.7255927635364830e-03,1,5.4550072149705085e-08,4.4112111964891336e-02,9.2814843794090351e-01
1.5863202273263846e-01,3.7851127870729417e-03,1,5.4477219808498618e-08,4.0893844833463297e-02,9.2704345840458868e-01
1.6247863442384070e-01,3.8466116912022454e-03,1,5.4401933000507844e-08,3.7863738664955807e-02,9.2590312354225079e-01
1.6638882559182105e-01,3.9101911679803592e-03,1,5.4324087195201438e-08,3.5013571672092424e-02,9.2472568495986074e-01
1.7036478564493887e-01,3.9759600531178111e-03,1,5.4243549079575017e-08,3.2335358230008979e-02,9.2350927614111089e-01
1.7440882061456081e-01,4.0440349696219298e-03,1,5.4160175917312763e-08,2.9821345636037014e-02,9.2225190220287023e-01
1.7852336165501770e-01,4.1145410404568880e-03,1,5.4073814756299061e-08,2.7464010866351866e-02,9.2095142860232049e-01
1.8271097433536349e-01,4.1876126803457843e-03,1,5.3984301447285689e-08,2.5256057329984097e-02,9.1960556864354837e-01
