t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,4.3013464348186337e-04,1.0000000000000000e+00,8.0275733182373188e-01
0.0000000000000000e+00,2.0000000000000000e-03,0,7.2786597029278433e-06,1.0000000000000000e+00,9.5342696973175933e-01
4.3111059870672212e-04,4.3111059870672212e-04,1,8.5587221220332187e-08,9.8947679618556705e-01,9.8947679618556705e-01
8.3977006860923731e-04,4.0865946990251519e-04,1,7.2368243765689685e-08,9.7976627663802707e-01,9.9018620791819068e-01
1.2494280295603096e-03,4.0965796095107231e-04,1,7.2232777560205298e-08,9.7026951215206547e-01,9.9030711230585644e-01
1.6603434790697070e-03,4.1091544950939729e-04,1,7.2232776373303266e-08,9.6096397678638312e-01,9.9040932931609638e-01
2.0725202793895033e-03,4.1217680031979616e-04,1,7.2233956680164263e-08,9.5183501209660615e-01,9.9050020093333191e-01
2.4859600504759170e-03,4.1343977108641378e-04,1,7.2234877403108355e-08,9.4286954229498854e-01,9.9058085730438783e-01
2.9006649002678913e-03,4.1470484979197448e-04,1,7.2235558704568355e-08,9.3405584120447960e-01,9.9065225813843139e-01
3.3166373919834334e-03,4.1597249171554233e-04,1,7.2236030668062776e-08,9.2538338289549493e-01,9.9071526783901764e-01
3.7338804917572467e-03,4.1724309977381321e-04,1,7.2236320614481132e-08,9.1684270958229119e-01,9.9077066492540611e-01
4.1523975207653496e-03,4.1851702900810308e-04,1,7.2236450292023334e-08,9.0842531443429164e-01,9.9081915026424261e-01
4.5721921173736213e-03,4.1979459660827133e-04,1,7.2236439759895429e-08,9.0012353756416952e-01,9.9086135454592450e-01
4.9932682019570044e-03,4.2107608458338310e-04,1,7.2236304547229702e-08,8.9193047387176194e-01,9.9089784529512603e-01
5.4156299499825795e-03,4.2236174802557470e-04,1,7.2236059194341176e-08,8.8383989130273621e-01,9.9092913314879183e-01
5.8392817665910641e-03,4.2365181660848416e-04,1,7.2235715887126138e-08,8.7584615846190550e-01,9.9095567769740711e-01
6.2642282653865133e-03,4.2494649879544933e-04,1,7.2235283929561768e-08,8.6794418045596522e-01,9.9097789271597980e-01
6.6904742525529144e-03,4.2624598716640147e-04,1,7.2234772439305014e-08,8.6012934199123792e-01,9.9099615085774073e-01
7.1180247110803679e-03,4.2755045852745359e-04,1,7.2234188172436020e-08,8.5239745697297264e-01,9.9101078798176379e-01
7.5468847894100124e-03,4.2886007832964435e-04,1,7.2233537571297251e-08,8.4474472376875176e-01,9.9102210695067383e-01
7.9770597905160258e-03,4.3017500110601408e-04,1,7.2232825616363545e-08,8.3716768553820586e-01,9.9103038111118158e-01
8.4085551637204450e-03,4.3149537320442011e-04,1,7.2232056734741034e-08,8.2966319499255958e-01,9.9103585736133404e-01
8.8413764974780516e-03,4.3282133375760630e-04,1,7.2231234427329970e-08,8.2222838309021562e-01,9.9103875892384186e-01
9.2755295138972817e-03,4.3415301641923067e-04,1,7.2230362284254207e-08,8.1486063119059216e-01,9.9103928780476669e-01
9.7110200629894842e-03,4.3549054909220239e-04,1,7.2229442039445484e-08,8.0755754629091370e-01,9.9103762702462628e-01
1.0147854120563991e-02,4.3683405757450710e-04,1,7.2228476906320776e-08,8.0031693891864253e-01,9.9103394252765387e-01
1.0586037783092039e-02,4.3818366252804726e-04,1,7.2227468102120190e-08,7.9313680347412507e-01,9.9102838501179424e-01
1.1025577266533741e-02,4.3953948344170298e-04,1,7.2226417607730183e-08,7.8601530062590574e-01,9.9102109142202777e-01
1.1466478903586905e-02,4.4090163705316456e-04,1,7.2225326383498010e-08,7.7895074160510180e-01,9.9101218638469446e-01
1.1908749142970189e-02,4.4227023938328466e-04,1,7.2224196067719763e-08,7.7194157412261277e-01,9.9100178341438383e-01
1.2352394547301320e-02,4.4364540433113124e-04,1,7.2223027357844940e-08,7.6498636977428347e-01,9.9098998605401645e-01
1.2797421792869077e-02,4.4502724556775728e-04,1,7.2221821506604935e-08,7.5808381271351633e-01,9.9097688882639334e-01
1.3243837668252285e-02,4.4641587538320811e-04,1,7.2220578976829616e-08,7.5123268949244326e-01,9.9096257813954647e-01
1.3691649074544517e-02,4.4781140629223190e-04,1,7.2219300610065775e-08,7.4443187989884418e-01,9.9094713304050452e-01
1.4140863024792002e-02,4.4921395024748515e-04,1,7.2217986971604634e-08,7.3768034871222021e-01,9.9093062593243397e-01
