t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,8.2769898454602216e-04,1.0000000000000000e+00,3.5918966062609498e-01
0.0000000000000000e+00,2.0000000000000000e-03,0,8.6000068407542668e-05,1.0000000000000000e+00,8.0241620399759772e-01
0.0000000000000000e+00,4.0000000000000002e-04,0,1.4552649317066641e-06,1.0000000000000000e+00,9.5340635256283290e-01
1.4745352055218924e-04,1.4745352055218924e-04,1,8.2917897523733705e-08,9.8217613624622480e-01,9.8217613624622480e-01
2.8871211968209182e-04,1.4125859912990260e-04,1,7.1937708111707636e-08,9.6583597590500514e-01,9.8336330955497442e-01
4.3059779077575912e-04,1.4188567109366728e-04,1,7.1746588482220517e-08,9.5005159662631800e-01,9.8365728791175233e-01
5.7323975031190887e-04,1.4264195953614977e-04,1,7.1746583123253283e-08,9.3474015406082145e-01,9.8388356735584870e-01
7.1664203307988841e-04,1.4340228276797954e-04,1,7.1748817587848317e-08,9.1984550809157195e-01,9.8406546899205916e-01
8.6080719522049103e-04,1.4416516214060265e-04,1,7.1750009502600377e-08,9.0532136042251488e-01,9.8421023145594233e-01
1.0057384925972646e-03,1.4493129737677362e-04,1,7.1750317873361314e-08,8.9112922218698465e-01,9.8432364588315169e-01
1.1514397879399470e-03,1.4570129534268239e-04,1,7.1749913377916818e-08,8.7723697803476641e-01,9.8441051667217883e-01
1.2979154473855118e-03,1.4647565944556491e-04,1,7.1748927724842611e-08,8.6361772687215554e-01,9.8447483233878086e-01
1.4451702607753566e-03,1.4725481338984483e-04,1,7.1747461828801204e-08,8.5024884357789154e-01,9.8451990634480924e-01
1.5932093808930952e-03,1.4803912011773863e-04,1,7.1745590654143237e-08,8.3711121942135791e-01,9.8454849511908793e-01
1.7420382789343776e-03,1.4882889804128239e-04,1,7.1743371641170171e-08,8.2418864651224555e-01,9.8456289605335245e-01
1.8916627108963762e-03,1.4962443196199870e-04,1,7.1740847796079609e-08,8.1146731839034414e-01,9.8456502867913220e-01
2.0420886930956317e-03,1.5042598219925540e-04,1,7.1738052118596981e-08,7.9893542397180983e-01,9.8455650137162276e-01
2.1933224840098246e-03,1.5123379091419288e-04,1,7.1735009039903278e-08,7.8658281662335006e-01,9.8453866610764318e-01
2.3453705716409540e-03,1.5204808763112954e-04,1,7.1731737220040018e-08,7.7440074360362010e-01,9.8451266317763553e-01
2.4982396645984663e-03,1.5286909295751211e-04,1,7.1728251197899192e-08,7.6238162414506327e-01,9.8447945775125856e-01
2.6519366858495518e-03,1.5369702125108529e-04,1,7.1724562448936926e-08,7.5051886675951862e-01,9.8443986973210740e-01
2.8064687684674775e-03,1.5453208261792550e-04,1,7.1720679567177759e-08,7.3880671822737032e-01,9.8439459812287300e-01
2.9618432533145039e-03,1.5537448484702641e-04,1,7.1716609862225824e-08,7.2724013821142452e-01,9.8434424088116346e-01
3.1180676875653523e-03,1.5622443425084850e-04,1,7.1712359808700953e-08,7.1581469473394665e-01,9.8428931122314334e-01
