t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,1.2808561277103168e+00,1.0000000000000000e+00,3.5888174900438319e-01
0.0000000000000000e+00,2.0000000000000000e-03,0,1.7328354892930372e-05,1.0000000000000000e+00,8.0241666586651283e-01
0.0000000000000000e+00,6.4197931984832186e-04,0,1.1314830808035933e-07,1.0000000000000000e+00,9.2754160586342660e-01
5.6368169906284376e-04,5.6368169906284376e-04,1,6.1490921459554836e-08,9.3575002859274159e-01,9.3575002859274159e-01
1.1228135648993056e-03,5.5913186583646170e-04,1,5.5764546423029712e-08,8.7993831927184640e-01,9.4035617674003236e-01
1.6883819422422138e-03,5.6556837734290824e-04,1,5.5562372609996161e-08,8.2881575735461843e-01,9.4190210745733616e-01
2.2608766438318617e-03,5.7249470158964781e-04,1,5.5546453714342551e-08,7.8114171753614892e-01,9.4247932740729545e-01
2.8404157059841641e-03,5.7953906215230230e-04,1,5.5520121529314091e-08,7.3626193317772470e-01,9.4254591279546240e-01
3.4271414460979137e-03,5.8672574011374944e-04,1,5.5485828433989119e-08,6.9378915446787170e-01,9.4231295032932172e-01
4.0212163904146175e-03,5.9407494431670414e-04,1,5.5447584245170783e-08,6.5347598080782709e-01,9.4189420027621440e-01
4.6228155481118343e-03,6.0159915769721658e-04,1,5.5406831510466030e-08,6.1515277598445672e-01,9.4135483789932850e-01
5.2321238085044700e-03,6.0930826039263576e-04,1,5.5364022964048682e-08,5.7869493038439745e-01,9.4073367296162469e-01
5.8493353624944986e-03,6.1721155399002854e-04,1,5.5319298279768461e-08,5.4400466285774107e-01,9.4005430891953146e-01
6.4746537859150036e-03,6.2531842342050507e-04,1,5.5272707248803108e-08,5.1100054004448614e-01,9.3933117661183430e-01
7.1082923284244218e-03,6.3363854250941842e-04,1,5.5224278387255888e-08,4.7961131545118058e-01,9.3857301091976741e-01
7.7504742655360170e-03,6.4218193711159570e-04,1,5.5174028397765888e-08,4.4977227408792919e-01,9.3778495126792172e-01
8.4014332964712588e-03,6.5095903093524135e-04,1,5.5121965926821718e-08,4.2142305890871778e-01,9.3696984715943332e-01
9.0614139823562614e-03,6.5998068588500277e-04,1,5.5068089241868166e-08,3.9450638165745827e-01,9.3612908291976082e-01
9.7306722334337490e-03,6.6925825107748752e-04,1,5.5012384357230329e-08,3.6896726186255069e-01,9.3526310097289445e-01
1.0409475853716470e-02,6.7880362028272185e-04,1,5.4954826104729512e-08,3.4475257993763458e-01,9.3437173313783961e-01
1.1098105144972836e-02,6.8862929125636512e-04,1,5.4895376956824488e-08,3.2181081584707816e-01,9.3345440926154477e-01
1.1796853577795431e-02,6.9874843282259408e-04,1,5.4833988901507181e-08,3.0009189611078957e-01,9.3251028658213508e-01
1.2506028530395371e-02,7.0917495259993960e-04,1,5.4770603186616589e-08,2.7954710339407407e-01,9.3153832881534848e-01
1.3225952101354046e-02,7.1992357095867490e-04,1,5.4705150665915063e-08,2.6012902155552459e-01,9.3053735272951088e-01
1.3956962001576211e-02,7.3100990022216582e-04,1,5.4637552924398467e-08,2.4179150037766967e-01,9.2950605407962628e-01
1.4699412529075513e-02,7.4245052749930224e-04,1,5.4567721948763586e-08,2.2448963096646235e-01,9.2844302060170669e-01
1.5453675634554000e-02,7.5426310547848676e-04,1,5.4495560421507675e-08,2.0817972665001619e-01,9.2734673647852017e-01
1.6220142084806925e-02,7.6646645025292396e-04,1,5.4420961452566553e-08,1.9281930655793753e-01,9.2621558141488947e-01
1.6999222733301161e-02,7.7908064849423414e-04,1,5.4343808651058076e-08,1.7836708034796184e-01,9.2504782602963498e-01
1.7791349907274760e-02,7.9212717397359920e-04,1,5.4263975763819104e-08,1.6478293331403027e-01,9.2384162476937248e-01
1.8596978922976917e-02,8.0562901570215744e-04,1,5.4181326076379090e-08,1.5202791149573061e-01,9.2259500688707763e-01
1.9416589742659553e-02,8.1961081968263743e-04,1,5.4095711734479971e-08,1.4006420662237135e-01,9.2130586577389617e-01
2.0250688788707845e-02,8.3409904604828979e-04,1,5.4006973438356236e-08,1.2885514084070493e-01,9.1997194678089800e-01
2.1099810930889546e-02,8.4912214218170207e-04,1,5.3914938880099741e-08,1.1836515124792339e-01,9.1859083367306527e-01
2.1964521668572233e-02,8.6471073768268618e-04,1,5.3819422485456310e-08,1.0855977422511297e-01,9.1715993331286816e-01
2.2845419528141328e-02,8.8089785956909652e-04,1,5.3720223670319569e-08,9.9405629633692941e-02,9.1567645882868454e-01
2.3743138703228389e-02,8.9771917508706166e-04,1,5.3617125705887685e-08,9.0870404880613764e-02,9.1413741068256138e-01
2.4658351966761482e-02,9.1521326353309108e-04,1,5.3509894229301176e-08,8.2922838886972619e-02,9.1253955560027800e-01
2.5591773888765205e-02,9.3342192200372438e-04,1,5.3398275433932621e-08,7.5532705981303253e-02,9.1087940301052128e-01
2.6544164399394662e-02,9.5239051062945615e-04,1,5.3281994141124422e-08,6.8670799730839241e-02,9.0915317859573896e-01
2.7516332742385703e-02,9.7216834299104098e-04,1,5.3160751556203164e-08,6.2308916723924426e-02,9.0735679456405449e-01
2.8509141871439249e-02,9.9280912905354724e-04,1,5.3034222869847556e-08,5.6419840311817883e-02,9.0548581612805756e-01
2.9523513349981430e-02,1.0143714785421820e-03,1,5.2902054057955004e-08,5.0977324318681731e-02,9.0353542365492756e-01
3.0560432826513682e-02,1.0369194765322523e-03,1,5.2763859074404327e-08,4.5956076716753919e-02,9.0150036964400515e-01
3.1620956166809648e-02,1.0605233402959640e-03,1,5.2619215804783998e-08,4.1331743279518489e-02,8.9937492998505764e-01
3.2706216341494579e-02,1.0852601746849319e-03,1,5.2467662005008375e-08,3.7080891207082953e-02,8.9715284826754449e-01
3.3817431182851798e-02,1.1112148413572201e-03,1,5.2308690402418229e-08,3.3180992728402373e-02,8.9482727216826841e-01
3.4955912146368867e-02,1.1384809635170713e-03,1,5.2141743208028439e-08,2.9610408679540710e-02,8.9239068046914394e-01
3.6123074237252972e-02,1.1671620908841071e-03,1,5.1966205687171466e-08,2.6348372058837000e-02,8.8983479910705832e-01
3.7320447293317946e-02,1.1973730560649733e-03,1,5.1781398838169965e-08,2.3374971557799162e-02,8.8715050423615871e-01
3.8549688852892144e-02,1.2292415595742006e-03,1,5.1586570883036280e-08,2.0671135067638995e-02,8.8432770994076271e-01
