t,dt,accepted,err_est,y_norm_ratio,step_ratio
1.0000000000000000e-02,1.0000000000000000e-02,1,1.8525079352250616e-09,9.8785096915115189e-01,9.8785096915115189e-01
2.9984371482239126e-02,1.9984371482239124e-02,1,5.6125666867223085e-08,9.6481911453968972e-01,9.7668488939049858e-01
5.0172715684370262e-02,2.0188344202131139e-02,1,5.7368970912630136e-08,9.4295778595868995e-01,9.7734152624927040e-01
7.0477940308192960e-02,2.0305224623822705e-02,1,5.7359021751235984e-08,9.2211047009845759e-01,9.7789157036437513e-01
9.0901430467097352e-02,2.0423490158904396e-02,1,5.7341720180898148e-08,9.0206552314764443e-01,9.7826188119448110e-01
1.1144511447985792e-01,2.0543684012760556e-02,1,5.7327278436080491e-08,8.8265322909245780e-01,9.7848017293971079e-01
1.3211074074604681e-01,2.0665626266188897e-02,1,5.7315257109382619e-08,8.6373954528206398e-01,9.7857178426703229e-01
1.5289990504080195e-01,2.0789164294755143e-02,1,5.7305201896684672e-08,8.4521998826392553e-01,9.7855886404727399e-01
1.7381407974318874e-01,2.0914174702386802e-02,1,5.7296729315684107e-08,8.2701440305811191e-01,9.7846053635905161e-01
1.9485463877846884e-01,2.1040559035280106e-02,1,5.7289510765497908e-08,8.0906252448099558e-01,9.7829314881248208e-01
2.1602287929165984e-01,2.1168240513190988e-02,1,5.7283268152666462e-08,7.9132023338820356e-01,9.7807055628466599e-01
2.3732004025248421e-01,2.1297160960824388e-02,1,5.7277769127444578e-08,7.7375641668332984e-01,9.7780441348040537e-01
2.5874731822910252e-01,2.1427277976618288e-02,1,5.7272811703639033e-08,7.5635034722284011e-01,9.7750445865754498e-01
2.8030588137783258e-01,2.1558563148730069e-02,1,5.7268232257608317e-08,7.3908950747203073e-01,9.7717877725026825e-01
3.0199688097128929e-01,2.1690999593456693e-02,1,5.7263888648248112e-08,7.2196779082868534e-01,9.7683404179027200e-01
3.2382146165476644e-01,2.1824580683477170e-02,1,5.7259665816988682e-08,7.0498402140029703e-01,9.7647572420246886e-01
3.4578076994952339e-01,2.1959308294756934e-02,1,5.7255465413099396e-08,6.8814074222945332e-01,9.7610828237299874e-01
3.6787596173414516e-01,2.2095191784621795e-02,1,5.7251209194918393e-08,6.7144322812582014e-01,9.7573532116477191e-01
3.9010820839825572e-01,2.2232246664110569e-02,1,5.7246828583656166e-08,6.5489868643783566e-01,9.7535973110613561e-01
4.1247870243226076e-01,2.2370494034005050e-02,1,5.7242273539528179e-08,6.3851561386077393e-01,9.7498380602017465e-01
4.3498866173158118e-01,2.2509959299320422e-02,1,5.7237499293857245e-08,6.2230328334540685e-01,9.7460934366610152e-01
4.5763933361490711e-01,2.2650671883325937e-02,1,5.7232471901635947e-08,6.0627133805535649e-01,9.7423772986723611e-01
4.8043199810202741e-01,2.2792664487120334e-02,1,5.7227165809500788e-08,5.9042947397898060e-01,9.7387000987513372e-01
5.0000000000000000e-01,1.9568001897972587e-02,1,2.6158158579670090e-08,5.7706516853359546e-01,9.7736511127176406e-01
