t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,1.4674392899330186e-03,1.0000000000000000e+00,5.9248986362601330e-01
0.0000000000000000e+00,2.0000000000000000e-03,0,1.7307510689773856e-06,1.0000000000000000e+00,8.9171340168778346e-01
1.0177136122811585e-03,1.0177136122811585e-03,1,7.5838758720862629e-08,9.4159468555011439e-01,9.4159468555011439e-01
1.9857459147465729e-03,9.6803230246541433e-04,1,5.6705859009309994e-08,8.9240266889302111e-01,9.4775669679108954e-01
2.9616491826987478e-03,9.7590326795217496e-04,1,5.6069252208600271e-08,8.4711462277940186e-01,9.4925155684507678e-01
3.9477114240139000e-03,9.8606224131515255e-04,1,5.6039166901775260e-08,8.0467465923908488e-01,9.4990056552079039e-01
4.9441453468137076e-03,9.9643392279980783e-04,1,5.6019268173905552e-08,7.6453593140592779e-01,9.5011806651011854e-01
5.9511315668934351e-03,1.0069862200797271e-03,1,5.5994115740809734e-08,7.2636400751652497e-01,9.5007177253368946e-01
6.9688732425658359e-03,1.0177416756724004e-03,1,5.5966230173992684e-08,6.8994116645911840e-01,9.4985593906017152e-01
7.9975877333049901e-03,1.0287144907391548e-03,1,5.5936799115966909e-08,6.5511787420393275e-01,9.4952715688222533e-01
9.0375027382675714e-03,1.0399150049625807e-03,1,5.5906188934762782e-08,6.2178593113461644e-01,9.4912069357011564e-01
1.0088855298347542e-02,1.0513525600799707e-03,1,5.5874471492052427e-08,5.8986287948405980e-01,9.4865909623862932e-01
1.1151891856633837e-02,1.0630365582862964e-03,1,5.5841637158881436e-08,5.5928261221889186e-01,9.4815698982123464e-01
1.2226868631497618e-02,1.0749767748637808e-03,1,5.5807664651341071e-08,5.2998957075742947e-01,9.4762390100910610e-01
1.3314052052252261e-02,1.0871834207546440e-03,1,5.5772540323707860e-08,5.0193510339109626e-01,9.4706600107953165e-01
1.4413719185547812e-02,1.0996671332955512e-03,1,5.5736257019483302e-08,4.7507516184752902e-01,9.4648722242756034e-01
1.5526158156115331e-02,1.1124389705675197e-03,1,5.5698814083222822e-08,4.4936884096761193e-01,9.4588999184897971e-01
1.6651668561072714e-02,1.1255104049573827e-03,1,5.5660209093622916e-08,4.2477745483281937e-01,9.4527572031509643e-01
1.7790561910785208e-02,1.1388933497124925e-03,1,5.5620439129109217e-08,4.0126395464700454e-01,9.4464513142518569e-01
1.8943162092656937e-02,1.1526001818717305e-03,1,5.5579496743375097e-08,3.7879256452770510e-01,9.4399848314542056e-01
2.0109805876078909e-02,1.1666437834219731e-03,1,5.5537370057765776e-08,3.5732855522565393e-01,9.4333571639978353e-01
2.1290843460870550e-02,1.1810375847916413e-03,1,5.5494041716406647e-08,3.3683810467140884e-01,9.4265655443823870e-01
2.2486639076629417e-02,1.1957956157588666e-03,1,5.5449489906144005e-08,3.1728821255871253e-01,9.4196056847022225e-01
2.3697571632035737e-02,1.2109325554063180e-03,1,5.5403687182860113e-08,2.9864664823142645e-01,9.4124722069895195e-01
2.4924035422733581e-02,1.2264637906978430e-03,1,5.5356601089976458e-08,2.8088191865043172e-01,9.4051589165257088e-01
2.6166440899143367e-02,1.2424054764097856e-03,1,5.5308194631471192e-08,2.6396324828067602e-01,9.3976589717470704e-01
2.7425215496298103e-02,1.2587745971547354e-03,1,5.5258426087390342e-08,2.4786056585734900e-01,9.3899649845873689e-01
2.8700804530975402e-02,1.2755890346772987e-03,1,5.5207248879155533e-08,2.3254449493359333e-01,9.3820690729573131e-01
2.9993672171623180e-02,1.2928676406477760e-03,1,5.5154612219485747e-08,2.1798634636688466e-01,9.3739628809159314e-01
3.1304302483329979e-02,1.3106303117068005e-03,1,5.5100460709594901e-08,2.0415811171490922e-01,9.3656375785710144e-01
3.2633200555313838e-02,1.3288980719838603e-03,1,5.5044734368775403e-08,1.9103245692135407e-01,9.3570838462747885e-01
3.3980893716973187e-02,1.3476931616593461e-03,1,5.4987368594679531e-08,1.7858271598267642e-01,9.3482918484473521e-01
3.5347932849422357e-02,1.3670391324491712e-03,1,5.4928294224293969e-08,1.6678288444854805e-01,9.3392511996920791e-01
3.6734893799552047e-02,1.3869609501296898e-03,1,5.4867436630521239e-08,1.5560761270630957e-01,9.3299509251690615e-01
3.8142378909238217e-02,1.4074851096861679e-03,1,5.4804716510610567e-08,1.4503219901216838e-01,9.3203794139493046e-01
3.9571018664758650e-02,1.4286397555204307e-03,1,5.4740048881628467e-08,1.3503258233025089e-01,9.3105243697588491e-01
4.1021473481374471e-02,1.4504548166158189e-03,1,5.4673342919045815e-08,1.2558533497522076e-01,9.3003727550788540e-01
4.2494435635021220e-02,1.4729621536467479e-03,1,5.4604501710705749e-08,1.1666765509697789e-01,9.2899107304206807e-01
4.3990631354695005e-02,1.4961957196737842e-03,1,5.4533421704310974e-08,1.0825735904032899e-01,9.2791235883109169e-01
4.5510823092195000e-02,1.5201917374999959e-03,1,5.4459992149654294e-08,1.0033287360006064e-01,9.2679956808002073e-01
4.7055811987648834e-02,1.5449888954538311e-03,1,5.4384094856891831e-08,9.2873228191058629e-02,9.2565103398974602e-01
4.8626440549371444e-02,1.5706285617226130e-03,1,5.4305603177368930e-08,8.5858046959419482e-02,9.2446497910886083e-01
5.0223595573138782e-02,1.5971550237673412e-03,1,5.4224381462332416e-08,7.9267540836449948e-02,9.2323950571476998e-01
5.1848211325882722e-02,1.6246157527439408e-03,1,5.4140284521307008e-08,7.3082499551721025e-02,9.2197258525415460e-01
5.3501273021588656e-02,1.6530616957059357e-03,1,5.4053156424916974e-08,6.7284283618487720e-02,9.2066204674444851e-01
5.5183820624388771e-02,1.6825476028001171e-03,1,5.3962829690690617e-08,6.1854816289388964e-02,9.1930556383887985e-01
5.6896953015513195e-02,1.7131323911244213e-03,1,5.3869124363501950e-08,5.6776575491289248e-02,9.1790064052019704e-01
5.8641832565764801e-02,1.7448795502516073e-03,1,5.3771846491764820e-08,5.2032585745318334e-02,9.1644459524159316e-01
6.0419690164190666e-02,1.7778575984258667e-03,1,5.3670787124409777e-08,4.7606410068291728e-02,9.1493454315933442e-01
6.2231830756404795e-02,1.8121405922141302e-03,1,5.3565720640620754e-08,4.3482141863837455e-02,9.1336737639872478e-01
6.4079639457307061e-02,1.8478087009022595e-03,1,5.3456403114813157e-08,3.9644396800977963e-02,9.1173974191802165e-01
6.5964588311060224e-02,1.8849488537531576e-03,1,5.3342570422396542e-08,3.6078304681887156e-02,9.1004801669720869e-01
6.7888243782645949e-02,1.9236554715857251e-03,1,5.3223936227582996e-08,3.2769501299252636e-02,9.0828827984548621e-01
6.9852275077554010e-02,1.9640312949080582e-03,1,5.3100189448893445e-08,2.9704120284826087e-02,9.0645628120997790e-01
7.1858463403400463e-02,2.0061883258464569e-03,1,5.2970991718551541e-08,2.6868784947288227e-02,9.0454740586994420e-01
7.3908712303417182e-02,2.0502489000167250e-03,1,5.2835974187965269e-08,2.4250600101345009e-02,9.0255663398699904e-01
7.6005059215715959e-02,2.0963469122987832e-03,1,5.2694734198492256e-08,2.1837143886275532e-02,9.0047849517193523e-01
7.8149688436191966e-02,2.1446292204760006e-03,1,5.2546831255426474e-08,1.9616459575210465e-02,8.9830701658467582e-01
8.0344945695795950e-02,2.1952572596039784e-03,1,5.2391782583626466e-08,1.7577047373947191e-02,8.9603566365051401e-01
8.2593354599444516e-02,2.2484089036485695e-03,1,5.2229057970858536e-08,1.5707856209486077e-02,8.9365727219739766e-01
8.4897635219803258e-02,2.3042806203587424e-03,1,5.2058073821491002e-08,1.3998275507750072e-02,8.9116397050390750e-01
8.7260725194742483e-02,2.3630899749392223e-03,1,5.1878186482934541e-08,1.2438126959811564e-02,8.8854708945578764e-01
8.9685803743301484e-02,2.4250785485589953e-03,1,5.1688684312782314e-08,1.1017656276933265e-02,8.8579705871567826e-01
9.2176319099619319e-02,2.4905153563178316e-03,1,5.1488778690788655e-08,9.7275249332032174e-03,8.8290328620696890e-01
9.4736019964796692e-02,2.5597008651773662e-03,1,5.1277593480176026e-08,8.5588018956942388e-03,8.7985401779647510e-01
9.7368991704037969e-02,2.6329717392412823e-03,1,5.1054152841986871e-08,7.5029553413998541e-03,8.7663617324457999e-01
1.0007969817345432e-01,2.7107064694163528e-03,1,5.0817366934583783e-08,6.5518443605447098e-03,8.7323515367243376e-01
1.0287303025946135e-01,2.7933320860070300e-03,1,5.0566015224578583e-08,5.6977106454849970e-03,8.6963461461274683e-01
1.0575436246302053e-01,2.8813322035591816e-03,1,5.0298726898641207e-08,4.9331701646138397e-03,8.6581619733936499e-01
1.0872961917819958e-01,2.9752567151790444e-03,1,5.0013957732733107e-08,4.2512048206214959e-03,8.6175920934490469e-01
1.1180535272128210e-01,3.0757335430825175e-03,1,4.9709962886758251e-08,3.6451540922207747e-03,8.5744024247880846e-01
1.1498883568886523e-01,3.1834829675831330e-03,1,4.9384764651791396e-08,3.1087066586822022e-03,8.5283271434713293e-01
1.1828817090337314e-01,3.2993352145079106e-03,1,4.9036114280101328e-08,2.6358920062582920e-03,8.4790631463943311e-01
1.2171242309278298e-01,3.4242521894098364e-03,1,4.8661446750807448e-08,2.2210720156311801e-03,8.4262633308108914e-01
1.2527177762342512e-01,3.5593545306421494e-03,1,4.8257827199861165e-08,1.8589325294672946e-03,8.3695283916268104e-01
1.2897773316357622e-01,3.7059555401510931e-03,1,4.7821887782106419e-08,1.5444748990997295e-03,8.3083967525293778e-01
1.3284333724439509e-01,3.8656040808188867e-03,1,4.7349753765671066e-08,1.2730075094207751e-03,8.2423321360729662e-01
1.3688347650841004e-01,4.0401392640149426e-03,1,4.6836958462134556e-08,1.0401372810476426e-03,8.1707081329073261e-01
1.4111523727705691e-01,4.2317607686468764e-03,1,4.6278348210946155e-08,8.4176114900021875e-04,8.0927889456320967e-01
