t,dt,accepted,err_est,y_norm_ratio,step_ratio
1.8247331024640820e-01,3.2214810605355822e-03,1,7.2583643603529569e-08,8.1958542612486118e-01,9.9664751356988257e-01
1.8569946480741034e-01,3.2261545610021286e-03,1,7.2583335812764436e-08,8.1683255537025867e-01,9.9664114237899692e-01
1.8893030421566351e-01,3.2308394082531705e-03,1,7.2583025711271890e-08,8.1408355384526165e-01,9.9663455930236411e-01
1.9216583988203761e-01,3.2355356663741185e-03,1,7.2582713313280813e-08,8.1133827740557962e-01,9.9662777066713248e-01
1.9540608328156811e-01,3.2402433995305032e-03,1,7.2582398589192289e-08,8.0859658902140152e-01,9.9662078264944542e-01
1.9865104595418920e-01,3.2449626726210956e-03,1,7.2582082010166355e-08,8.0585835856435561e-01,9.9661360127630527e-01
2.0190073949799842e-01,3.2496935438092291e-03,1,7.2581762920149709e-08,8.0312346260580403e-01,9.9660623243590374e-01
2.0515517557931875e-01,3.2544360813203275e-03,1,7.2581441499931384e-08,8.0039178420593016e-01,9.9659868186267309e-01
2.0841436593030793e-01,3.2591903509891864e-03,1,7.2581117985149724e-08,7.9766321271823770e-01,9.9659095515279505e-01
2.1167832234572756e-01,3.2639564154196350e-03,1,7.2580791881685915e-08,7.9493764359949959e-01,9.9658305776763834e-01
2.1494705669064285e-01,3.2687343449152801e-03,1,7.2580463757668792e-08,7.9221497821526032e-01,9.9657499502487901e-01
2.1822058089220847e-01,3.2735242015656308e-03,1,7.2580132929685768e-08,7.8949512366323937e-01,9.9656677211765377e-01
2.2149890695023688e-01,3.2783260580284226e-03,1,7.2579799995841672e-08,7.8677799258559233e-01,9.9655839409743330e-01
2.2478204692852058e-01,3.2831399782837049e-03,1,7.2579464983608784e-08,7.8406350300161998e-01,9.9654986589666583e-01
2.2807001295470669e-01,3.2879660261860987e-03,1,7.2579126654094973e-08,7.8135157813766087e-01,9.9654119232233473e-01
2.3136281723932095e-01,3.2928042846142708e-03,1,7.2578787012873285e-08,7.7864214624548811e-01,9.9653237803828254e-01
2.3466047204579377e-01,3.2976548064728179e-03,1,7.2578444238489471e-08,7.7593514046527223e-01,9.9652342761913315e-01
2.3796298971831048e-01,3.3025176725167086e-03,1,7.2578099224144272e-08,7.7323049864496740e-01,9.9651434549196605e-01
2.4127038266863160e-01,3.3073929503211158e-03,1,7.2577752128758276e-08,7.7052816319750062e-01,9.9650513598182899e-01
2.4458266337398496e-01,3.3122807053533494e-03,1,7.2577402061891339e-08,7.6782808095270683e-01,9.9649580330251764e-01
2.4789984439092871e-01,3.3171810169437535e-03,1,7.2577050046346200e-08,7.6513020300008783e-01,9.9648635154203857e-01
2.5122193834012491e-01,3.3220939491961717e-03,1,7.2576695397126058e-08,7.6243448455906560e-01,9.9647678469566048e-01
2.5454895791709498e-01,3.3270195769700603e-03,1,7.2576338223945899e-08,7.5974088483171065e-01,9.9646710664075910e-01
2.5788091589089324e-01,3.3319579737982521e-03,1,7.2575978655822063e-08,7.5704936686894009e-01,9.9645732115184671e-01
2.6121782510247382e-01,3.3369092115805746e-03,1,7.2575616516701583e-08,7.5435989744045195e-01,9.9644743190313800e-01
2.6455969846772731e-01,3.3418733652534937e-03,1,7.2575252148200432e-08,7.5167244690433099e-01,9.9643744246580512e-01
2.6790654897258187e-01,3.3468505048545858e-03,1,7.2574885275722479e-08,7.4898698908641026e-01,9.9642735631859269e-01
2.7125838967755361e-01,3.3518407049717355e-03,1,7.2574515599614412e-08,7.4630350115531063e-01,9.9641717683991704e-01
2.7461523372271646e-01,3.3568440451628655e-03,1,7.2574143765964894e-08,7.4362196350040721e-01,9.9640690730948978e-01
2.7797709431810569e-01,3.3618605953892535e-03,1,7.2573769563110873e-08,7.4094235962459032e-01,9.9639655092595247e-01
2.8134398474731298e-01,3.3668904292073016e-03,1,7.2573392642402297e-08,7.3826467602952106e-01,9.9638611079487216e-01
2.8471591837322946e-01,3.3719336259164560e-03,1,7.2573013126021157e-08,7.3558890210222083e-01,9.9637558992841058e-01
2.8809290863652820e-01,3.3769902632987412e-03,1,7.2572631459638825e-08,7.3291503001040248e-01,9.9636499125506550e-01
2.9147496904910969e-01,3.3820604125814999e-03,1,7.2572247011368657e-08,7.3024305460462824e-01,9.9635431762705651e-01
2.9486211320426114e-01,3.3871441551514715e-03,1,7.2571860508064700e-08,7.2757297331004023e-01,9.9634357180427591e-01
2.9825435476572132e-01,3.3922415614601525e-03,1,7.2571470936974220e-08,7.2490478603751052e-01,9.9633275647885733e-01
3.0165170748380771e-01,3.3973527180863709e-03,1,7.2571079094973308e-08,7.2223849507613291e-01,9.9632187424785523e-01
3.0505418518338395e-01,3.4024776995762672e-03,1,7.2570685150480913e-08,7.1957410501052843e-01,9.9631092764541218e-01
3.0846180176157195e-01,3.4076165781879893e-03,1,7.2570288133551281e-08,7.1691162263296349e-01,9.9629991913407434e-01
3.1187457120329026e-01,3.4127694417183043e-03,1,7.2569888825777845e-08,7.1425105684406109e-01,9.9628885108720777e-01
3.1529250756941185e-01,3.4179363661215613e-03,1,7.2569487203252318e-08,7.1159241857737721e-01,9.9627772582034235e-01
3.1871562499749601e-01,3.4231174280841422e-03,1,7.2569082930062822e-08,7.0893572071647915e-01,9.9626654557926664e-01
3.2214393770743854e-01,3.4283127099425464e-03,1,7.2568676280342331e-08,7.0628097801054968e-01,9.9625531253630939e-01
3.2557745999754306e-01,3.4335222901044917e-03,1,7.2568267066381318e-08,7.0362820699970285e-01,9.9624402880236240e-01
3.2901620624785627e-01,3.4387462503132050e-03,1,7.2567855393008936e-08,7.0097742593687629e-01,9.9623269642055767e-01
3.3246019091890061e-01,3.4439846710443301e-03,1,7.2567441135801989e-08,6.9832865471544814e-01,9.9622131737282704e-01
3.3590942855402833e-01,3.4492376351277212e-03,1,7.2567024408558254e-08,6.9568191479616770e-01,9.9620989357746048e-01
3.3936393377801294e-01,3.4545052239846109e-03,1,7.2566605417577251e-08,6.9303722913904220e-01,9.9619842689471039e-01
3.4282372129415889e-01,3.4597875161459734e-03,1,7.2566183865506436e-08,6.9039462213833980e-01,9.9618691912989243e-01
3.4628880588940503e-01,3.4650845952461568e-03,1,7.2565759577520764e-08,6.8775411955343235e-01,9.9617537202603179e-01
3.4975920243751313e-01,3.4703965481081194e-03,1,7.2565333094796796e-08,6.8511574844304934e-01,9.9616378726732147e-01
3.5323492589084871e-01,3.4757234533355588e-03,1,7.2564904008075292e-08,6.8247953711006659e-01,9.9615216649307281e-01
3.5671599128729553e-01,3.4810653964468027e-03,1,7.2564472478736582e-08,6.7984551503658419e-01,9.9614051128238068e-01
3.6020241374808398e-01,3.4864224607884641e-03,1,7.2564038428114532e-08,6.7721371282769327e-01,9.9612882316543738e-01
3.6369420847945222e-01,3.4917947313682389e-03,1,7.2563601945986085e-08,6.7458416215405970e-01,9.9611710362057793e-01
3.6719139077161317e-01,3.4971822921609553e-03,1,7.2563163076473266e-08,6.7195689569823081e-01,9.9610535407851919e-01
