t,dt,accepted,err_est,y_norm_ratio,step_ratio
0.0000000000000000e+00,1.0000000000000000e-02,0,8.6437682635441657e-04,1.0000000000000000e+00,5.9250635808757124e-01
0.0000000000000000e+00,2.0000000000000000e-03,0,3.3885286952082171e-05,1.0000000000000000e+00,8.9171317587317100e-01
0.0000000000000000e+00,4.0000000000000002e-04,0,4.0281043500726774e-07,1.0000000000000000e+00,9.7602067876475274e-01
2.2625712441656570e-04,2.2625712441656570e-04,1,7.6236844819953608e-08,9.8625148720095246e-01,9.8625148720095246e-01
4.4916383067513028e-04,2.2290670625856461e-04,1,7.2045053675730421e-08,9.7317337401889736e-01,9.8673957570480153e-01
6.7294880387377411e-04,2.2378497319864383e-04,1,7.1987334185969024e-08,9.6046006946485996e-01,9.8693623881062886e-01
8.9767553436749254e-04,2.2472673049371843e-04,1,7.1989140569485624e-08,9.4807051815655718e-01,9.8710039937922056e-01
1.1233460977924956e-03,2.2567056342500302e-04,1,7.1991079824943156e-08,9.3597263360128979e-01,9.8723946760965553e-01
1.3499624233080478e-03,2.2661632551555219e-04,1,7.1992391932328201e-08,9.2413884377930966e-01,9.8735669249596758e-01
1.5775270919849982e-03,2.2756466867695046e-04,1,7.1993171977418939e-08,9.1254537388422707e-01,9.8745483974283510e-01
1.8060432471171430e-03,2.2851615513214487e-04,1,7.1993507416279849e-08,9.0117168192643515e-01,9.8753629980131286e-01
2.0355145106382344e-03,2.2947126352109126e-04,1,7.1993469473018914e-08,8.8999998079535492e-01,9.8760313783140807e-01
2.2659449150105797e-03,2.3043040437234518e-04,1,7.1993115672414136e-08,8.7901483342666709e-01,9.8765713752165374e-01
2.4973388482883428e-03,2.3139393327776322e-04,1,7.1992491418071397e-08,8.6820281006460376e-01,9.8769983969449660e-01
2.7297010110096847e-03,2.3236216272134200e-04,1,7.1991634914612144e-08,8.5755219810022321e-01,9.8773257602841902e-01
2.9630363799131995e-03,2.3333536890351468e-04,1,7.1990575003553627e-08,8.4705275650434697e-01,9.8775649853252534e-01
3.1973501810100297e-03,2.3431380109683041e-04,1,7.1989335552363136e-08,8.3669550773041856e-01,9.8777260484143736e-01
3.4326478674750315e-03,2.3529768646500190e-04,1,7.1987936047581297e-08,8.2647256134737979e-01,9.8778176016413777e-01
3.6689351018363969e-03,2.3628723436136531e-04,1,7.1986391432237957e-08,8.1637696438380969e-01,9.8778471611070617e-01
3.9062177427563599e-03,2.3728264091996297e-04,1,7.1984713296995940e-08,8.0640257411833693e-01,9.8778212676174493e-01
